"Time","opctyngppri01 : Actives"
2022-06-01 11:00:00,3836
2022-06-01 14:00:00,3483
2022-06-01 17:00:00,2954
2022-06-01 20:00:00,939
2022-06-01 23:00:00,726
2022-06-02 02:00:00,1700
2022-06-02 05:00:00,683
2022-06-02 08:00:00,1728
2022-06-02 11:00:00,4011
2022-06-02 14:00:00,3444
2022-06-02 17:00:00,2983
2022-06-02 20:00:00,985
2022-06-02 23:00:00,753
2022-06-03 02:00:00,1671
2022-06-03 05:00:00,730
2022-06-03 08:00:00,1801
2022-06-03 11:00:00,3720
2022-06-03 14:00:00,3039
2022-06-03 17:00:00,2657
2022-06-03 20:00:00,982
2022-06-03 23:00:00,729
2022-06-04 02:00:00,1731
2022-06-04 05:00:00,1055
2022-06-04 08:00:00,574
2022-06-04 11:00:00,978
2022-06-04 14:00:00,767
2022-06-04 17:00:00,745
2022-06-04 20:00:00,607
2022-06-04 23:00:00,633
2022-06-05 02:00:00,1623
2022-06-05 05:00:00,711
2022-06-05 08:00:00,355
2022-06-05 11:00:00,515
2022-06-05 14:00:00,434
2022-06-05 17:00:00,462
2022-06-05 20:00:00,489
2022-06-05 23:00:00,603
2022-06-06 02:00:00,1555
2022-06-06 05:00:00,659
2022-06-06 08:00:00,580
2022-06-06 11:00:00,938
2022-06-06 14:00:00,687
2022-06-06 17:00:00,643
2022-06-06 20:00:00,494
2022-06-06 23:00:00,590
2022-06-07 02:00:00,1550
2022-06-07 05:00:00,701
2022-06-07 08:00:00,2122
2022-06-07 11:00:00,4009
2022-06-07 14:00:00,3345
2022-06-07 17:00:00,3037
2022-06-07 20:00:00,1076
2022-06-07 23:00:00,802
2022-06-08 02:00:00,1740
2022-06-08 05:00:00,797
2022-06-08 08:00:00,2154
2022-06-08 11:00:00,4538
2022-06-08 14:00:00,3529
2022-06-08 17:00:00,2894
2022-06-08 20:00:00,1002
2022-06-08 23:00:00,747
2022-06-09 02:00:00,1666
2022-06-09 05:00:00,675
2022-06-09 08:00:00,1779
2022-06-09 11:00:00,3870
2022-06-09 14:00:00,3352
2022-06-09 17:00:00,2977
2022-06-09 20:00:00,1022
2022-06-09 23:00:00,768
2022-06-10 02:00:00,3086
2022-06-10 05:00:00,1775
2022-06-10 08:00:00,1808
2022-06-10 11:00:00,3725
2022-06-10 14:00:00,2901
2022-06-10 17:00:00,2483
2022-06-10 20:00:00,932
2022-06-10 23:00:00,701
2022-06-11 02:00:00,1740
2022-06-11 05:00:00,975
2022-06-11 08:00:00,622
2022-06-11 11:00:00,1003
2022-06-11 14:00:00,774
2022-06-11 17:00:00,715
2022-06-11 20:00:00,584
2022-06-11 23:00:00,653
2022-06-12 02:00:00,1649
2022-06-12 05:00:00,785
2022-06-12 08:00:00,344
2022-06-12 11:00:00,487
2022-06-12 14:00:00,420
2022-06-12 17:00:00,492
2022-06-12 20:00:00,488
2022-06-12 23:00:00,614
2022-06-13 02:00:00,1610
2022-06-13 05:00:00,922
2022-06-13 08:00:00,1953
2022-06-13 11:00:00,3747
2022-06-13 14:00:00,3325
2022-06-13 17:00:00,3205
2022-06-13 20:00:00,994
2022-06-13 23:00:00,795
